Source,Target
Alfred Jens,Abid Raja
Alfred Jens,Abid Raja
Alfred Jens,Abid Raja
Alfred Jens,Sveinung Rotevatn
Øystein Mathisen,
Bjørnar Moxnes,Sofie Marhaug
Bjørnar Moxnes,Sofie Marhaug
Bjørnar Moxnes,Sofie Marhaug
Bjørnar Moxnes,Mímir Kristjánsson
Bjørnar Moxnes,Mímir Kristjánsson
Bjørnar Moxnes,Mímir Kristjánsson
Bjørnar Moxnes,Mímir Kristjánsson
Bjørnar Moxnes,Sveinung Rotevatn
Bjørnar Moxnes,Mímir Kristjánsson
Bjørnar Moxnes,Mímir Kristjánsson
Bjørnar Moxnes,Mímir Kristjánsson
Bjørnar Moxnes,Mímir Kristjánsson
Bjørnar Moxnes,Mímir Kristjánsson
Bjørnar Moxnes,Mímir Kristjánsson
Bjørnar Moxnes,Mímir Kristjánsson
Bjørnar Moxnes,Mímir Kristjánsson
Bjørnar Moxnes,Mímir Kristjánsson
